title,year,release date,mpaa rating,user rating,budget,runtime,production company,genre,avg director gross
The Vow,2012,2012-02-10,PG-13,6.8,30000000.0,104,Screen Gems,"['Drama', 'Romance']",144849200.0
The Lorax,2012,2012-03-02,PG,6.4,70000000.0,86,Universal Pictures,"['Animation', 'Adventure', 'Comedy']",343539925.0
The Hunger Games,2012,2012-03-23,PG-13,7.2,78000000.0,142,Lionsgate,"['Adventure', 'Sci-Fi', 'Thriller']",187713875.0
The Lucky One,2012,2012-04-20,PG-13,6.5,25000000.0,101,Warner Bro,"['Drama', 'Romance']",37493928.57
Abraham Lincoln: Vampire Hunter,2012,2012-06-22,R,5.9,69000000.0,105,Abraham Productions,"['Action', 'Fantasy', 'Horror']",49260560.0
Cloud Atlas,2012,2012-10-26,R,7.5,102000000.0,172,Cloud Atlas Productions,"['Action', 'Drama', 'Mystery']",10278844.44
Les Misérables,2012,2012-12-25,PG-13,7.6,61000000.0,158,Working Title Films,"['Drama', 'History', 'Musical']",86366600.0
Life of Pi,2012,2012-11-21,PG,7.9,120000000.0,127,Fox,"['Adventure', 'Drama', 'Fantasy']",63485792.31
On the Road,2012,2012-05-23,R,6.1,25000000.0,124,M,"['Adventure', 'Drama', 'Romance']",
Cosmopolis,2012,2012-05-25,R,5.0,20500000.0,109,Alfama Films,"['Drama', 'Fantasy']",
Being Flynn,2012,2012-04-19,R,6.4,,102,Focus Features,['Drama'],64741750.0
The Perks of Being a Wallflower,2012,2012-10-12,PG-13,8.0,13000000.0,102,Summit Entertainment,"['Drama', 'Romance']",20254700.0
Anna Karenina,2012,2012-09-07,R,6.6,,129,Universal Pictures,"['Drama', 'Romance']",42827150.0
Bel Ami,2012,2012-03-09,R,5.4,,102,Redwave Films,"['Drama', 'History', 'Romance']",
When Worlds Collide,Action,,,,,,Paramount Pictures,"['Action', 'Drama', 'Sci-Fi']",142311687.5
The Wind in the Willows,2006,2006-12-18,,6.5,,99,Box TV,"['Adventure', 'Comedy', 'Drama']",
Coriolanus,2011,2012-01-20,R,6.2,,123,Hermetof Pictures,"['Drama', 'Thriller', 'War']",1146550.0
Savages,2012,2012-07-06,R,6.5,45000000.0,131,Ixtlan,"['Crime', 'Drama', 'Romance']",75752368.42
Jane Eyre,2011,2011-04-22,PG-13,7.4,,120,Focus Features,"['Drama', 'Romance']",
The Lincoln Lawyer,2011,2011-03-18,R,7.3,40000000.0,118,Lionsgate,"['Crime', 'Drama', 'Thriller']",34969500.0
Water for Elephants,2011,2011-04-22,PG-13,6.9,38000000.0,120,Fox,"['Drama', 'Romance']",275561516.67
Something Borrowed,2011,2011-05-06,PG-13,5.9,35000000.0,112,Alcon Entertainment,"['Comedy', 'Drama', 'Romance']",63294950.0
One Day,2011,2011-08-19,PG-13,7.0,15000000.0,107,Focus Features,"['Drama', 'Romance']",6994420.0
The Help,2011,2011-08-10,PG-13,8.1,25000000.0,146,DreamWorks,['Drama'],77514100.0
We Need to Talk About Kevin,2011,2011-10-21,R,7.5,7000000.0,112,BBC Films,"['Drama', 'Mystery', 'Thriller']",928400.0
The Girl with the Dragon Tattoo,2011,2011-12-21,R,7.8,90000000.0,158,Columbia Pictures,"['Crime', 'Drama', 'Mystery']",126710530.0
I Am Number Four,2011,2011-02-18,PG-13,6.1,60000000.0,111,DreamWorks,"['Action', 'Adventure', 'Sci-Fi']",
Extremely Loud & Incredibly Close,2011,2012-01-20,PG-13,6.9,40000000.0,129,Warner Bro,"['Adventure', 'Drama', 'Mystery']",35901940.0
Horrid Henry: The Movie,2011,2013-01-11,PG,3.7,,93,Vertigo Films,"['Adventure', 'Comedy', 'Family']",
One for the Money,2012,2012-01-27,PG-13,5.3,40000000.0,91,Lakeshore Entertainment,"['Action', 'Comedy', 'Crime']",51978250.0
Radio Free Albemuth,2010,2014-06-27,R,5.7,3600000.0,111,,"['Drama', 'Sci-Fi']",
War Horse,2011,2011-12-25,PG-13,7.2,66000000.0,146,DreamWorks,"['Drama', 'War']",323270386.67
Winnie the Pooh,2011,2011-07-15,G,7.2,30000000.0,63,Walt Disney Pictures,"['Animation', 'Adventure', 'Comedy']",138812000.0
The True Story of the Wonderful Wizard of Oz,2011,2011-04-28,,6.7,220000.0,60,Moondance Films,['Biography'],
Salmon Fishing in the Yemen,2011,2012-04-20,PG-13,6.8,,107,UK Film Council,"['Comedy', 'Drama', 'Romance']",
