title,book_title,author
The Vow,The Vow,Kim Carpenter
The Wind in the Willows,The Wind in the Willows,Kenneth Grahame
Something Borrowed,Something Borrowed,Emily Griffin
One Day,One Day,David Nicholls
Extremely Loud & Incredibly Close,extremely Loud & Incredibly Close,Jonathan Safran Foer
War Horse,Michael Morpurgo,
Cowboys & Aliens,Cowboys and Aliens,Scott Mitchell Rosenberg
Red Riding Hood,Jacob Grimm,
Percy Jackson & the Olympians: The Lightning Thief,The Lightning Thief,Rick Riordan
The Garden of Eden,The Garden of Eden,Ernest Hemingway
The Romantics,The Romantics,Leah Konen
Ramona and Beezus,Beezus and Ramona,Beverly Cleary
Legend of the Guardians: The Owls of Ga'Hoole,Legend of the Guardians: The Owls of Ga'Hoole,Kathryn Lasky
Call of the Wild,The Call of the Wild,Jack London
"I Love You, Beth Cooper","I Love You, Beth Cooper",Larry Doyle
A Christmas Carol,A Christmas Carol,Charles Dickens
Sherlock Holmes,The Adventures of Sherlock Holmes,Arthur Conan Doyle
Watchmen,Watchmen,Alan Moore
Twilight,Twilight,Stephenie Meyer
What Just Happened,What Just Happened?,Art Linson
The Secret Scripture,The Secret Scripture,Sebastian Barry
The World Made Straight,The World Made Straight,Ron Rash
The Hundred-Foot Journey,The Hundred-Foot Journey,Richard C. Morais
Syrup,Syrup,Max Barry
Wonder,Wonder,R.J. Palacio
The Jungle Book,The Jungle Book,Rudyard Kipling
Middle School: The Worst Years of My Life,Middle School: The Worst Years of My Life,James Patterson
Arrival,Story of Your Life,Ted Chiang
Frankenstein,Frankenstein,Mary Wollstonecraft Shelley
